type,name,shortname,start,end,desc,cost,deaths
flood,"Northeast Flooding†
 June 2006",,2006-06-25,2006-06-28,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA.",$1.90,20
flood,"Texas Flooding
 October 1998",,1998-10-16,1998-10-24,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",$1.4*,31
flood,"Northern Plains Flooding†
 Spring 1997",,1997-02-03,1997-05-24,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",$5.70,11
flood,"West Coast Flooding†
 December 1996-January 1997",,1997-01-01,1997-01-11,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",$4.60,36
flood,"Pacific Northwest Severe Flooding†
 February 1996",,1996-02-07,1996-02-12,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",$1.60,9
flood,"California Flooding†
 January-March 1995",,1995-01-01,1995-03-31,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,$4.10,27
flood,"Texas Flooding
 October 1994",,1994-10-16,1994-10-25,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,$1.70,19
flood,"Midwest Flooding†
 Summer 1993",,1993-06-27,1993-08-15,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",$36.10,48
flood,"Southern Flooding
 May 1990",,1990-05-11,1990-05-19,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$1.90,13
flood,"Western Storms & Flooding
 December 1982-March 1983",,1982-12-13,1983-03-31,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",$3.70,50
flood,"Gulf States Storms and Flooding
 December 1982-January 1983",,1982-12-01,1983-01-15,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",$3.80,45
flood,"Southern Severe Storms and Flooding
 April 1980",,1980-04-10,1980-04-17,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",$2.2*,7
freeze,"Southeast Freeze†
 March 2017",,2017-03-14,2017-03-16,"Severe freeze heavily damaged fruit crops across several southeastern states (SC, GA, NC, TN, AL, MS, FL, KY, VA). Mid-March freezes are not climatologically unusual in the Southeast, however many crops were blooming 3+ weeks early due to unusually warm temperatures during the preceding weeks. Damage was most severe in Georgia and South Carolina. Crops most impacted include peaches, blueberries, strawberries and apples, among others.",$1.00,0
freeze,"Spring Freeze†
 April 2007",,2007-04-04,2007-04-10,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",$2.50,0
freeze,"California Freeze†
 January 2007",,2007-01-11,2007-01-17,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected.",$1.70,1
freeze,"California Freeze
 December 1998",,1998-12-20,1998-12-28,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,$3.80,0
freeze,"California Freeze
 December 1990",,1990-12-18,1990-12-25,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",$6.50,0
freeze,"Florida Freeze
 December 1989",,1989-12-23,1989-12-25,Severe freeze damages citrus crops across central/northern Florida.,$4.00,10
freeze,"Florida Freeze
 January 1985",,1985-01-20,1985-01-22,Severe freeze over central/northern Florida damages citrus crops.,$2.80,0
freeze,"Freeze, Cold Wave
 December 1983",,1983-12-15,1983-12-25,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$5.00,151
storm,"Minnesota Hail Storm and Upper Midwest Severe Weather†
 June 2017",,2017-06-09,2017-06-16,"Severe hail and high wind damage impacting numerous states including MN, WI, WY, TX, IA, IL, KS, MO, NE, NY, PA, VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.50,0
